date,time,location,growth
2020-05-20,119,Mountain West,41
2020-05-20,119,North East,636
2020-05-20,119,Other,8
2020-05-20,119,Pacific West,132
2020-05-20,119,South,202
2020-05-20,119,South West,62
2020-05-21,120,Mid West,359
2020-05-21,120,Mountain West,67
2020-05-21,120,North East,654
2020-05-21,120,Other,8
2020-05-21,120,Pacific West,101
2020-05-21,120,South,217
2020-05-21,120,South West,93
2020-05-22,121,Mid West,307
2020-05-22,121,Mountain West,20
2020-05-22,121,North East,485
2020-05-22,121,Other,6
2020-05-22,121,Pacific West,91
2020-05-22,121,South,228
2020-05-22,121,South West,50
2020-05-23,122,Mid West,269
2020-05-23,122,Mountain West,20
2020-05-23,122,North East,571
2020-05-23,122,Other,6
2020-05-23,122,Pacific West,89
2020-05-23,122,South,237
2020-05-23,122,South West,33
2020-05-24,123,Mid West,264
2020-05-24,123,Mountain West,8
2020-05-24,123,North East,538
2020-05-24,123,Other,10
2020-05-24,123,Pacific West,81
2020-05-24,123,South,134
2020-05-24,123,South West,45
2020-05-25,124,Mid West,153
2020-05-25,124,Mountain West,-2
2020-05-25,124,North East,314
2020-05-25,124,Other,5
2020-05-25,124,Pacific West,28
2020-05-25,124,South,79
2020-05-25,124,South West,63
2020-05-26,125,Mid West,127
2020-05-26,125,Mountain West,16
2020-05-26,125,North East,289
2020-05-26,125,Other,10
2020-05-26,125,Pacific West,19
2020-05-26,125,South,112
2020-05-26,125,South West,25
2020-05-27,126,Mid West,177
2020-05-27,126,Mountain West,24
2020-05-27,126,North East,243
2020-05-27,126,Other,0
2020-05-27,126,Pacific West,56
2020-05-27,126,South,152
2020-05-27,126,South West,26
2020-05-28,127,Mid West,348
2020-05-28,127,Mountain West,55
2020-05-28,127,North East,623
2020-05-28,127,Other,5
2020-05-28,127,Pacific West,89
2020-05-28,127,South,266
2020-05-28,127,South West,67
2020-05-29,128,Mid West,269
2020-05-29,128,Mountain West,36
2020-05-29,128,North East,376
2020-05-29,128,Other,10
2020-05-29,128,Pacific West,99
2020-05-29,128,South,244
2020-05-29,128,South West,58
2020-05-30,129,Mid West,246
2020-05-30,129,Mountain West,16
2020-05-30,129,North East,489
2020-05-30,129,Other,8
2020-05-30,129,Pacific West,91
2020-05-30,129,South,222
2020-05-30,129,South West,54
2020-05-31,130,Mid West,243
2020-05-31,130,Mountain West,24
2020-05-31,130,North East,407
2020-05-31,130,Other,3
2020-05-31,130,Pacific West,70
2020-05-31,130,South,135
2020-05-31,130,South West,72
2020-06-01,131,Mid West,160
2020-06-01,131,Mountain West,3
2020-06-01,131,North East,283
2020-06-01,131,Other,7
2020-06-01,131,Pacific West,38
2020-06-01,131,South,101
2020-06-01,131,South West,26
2020-06-02,132,Mid West,138
2020-06-02,132,Mountain West,14
2020-06-02,132,North East,409
2020-06-02,132,Other,2
2020-06-02,132,Pacific West,51
2020-06-02,132,South,124
2020-06-02,132,South West,30
2020-06-03,133,Mid West,248
2020-06-03,133,Mountain West,17
2020-06-03,133,North East,354
2020-06-03,133,Other,4
2020-06-03,133,Pacific West,97
2020-06-03,133,South,201
2020-06-03,133,South West,60
2020-06-04,134,Mid West,216
2020-06-04,134,Mountain West,38
2020-06-04,134,North East,391
2020-06-04,134,Other,5
