date,time,location,growth
2020-04-13,82,Wave 3,169
2020-04-13,82,Western Europe,2886
2020-04-14,83,China,2
2020-04-14,83,India,27
2020-04-14,83,Other,763
2020-04-14,83,USA,1962
2020-04-14,83,Wave 3,193
2020-04-14,83,Western Europe,2972
2020-04-15,84,China,0
2020-04-15,84,India,35
2020-04-15,84,Other,970
2020-04-15,84,USA,2443
2020-04-15,84,Wave 3,329
2020-04-15,84,Western Europe,3201
2020-04-16,85,China,1
2020-04-16,85,India,12
2020-04-16,85,Other,1004
2020-04-16,85,USA,2598
2020-04-16,85,Wave 3,309
2020-04-16,85,Western Europe,4535
2020-04-17,86,China,0
2020-04-17,86,India,43
2020-04-17,86,Other,1008
2020-04-17,86,USA,2160
2020-04-17,86,Wave 3,293
2020-04-17,86,Western Europe,3772
2020-04-18,87,China,1290
2020-04-18,87,India,38
2020-04-18,87,Other,906
2020-04-18,87,USA,2091
2020-04-18,87,Wave 3,363
2020-04-18,87,Western Europe,3687
2020-04-19,88,China,0
2020-04-19,88,India,35
2020-04-19,88,Other,907
2020-04-19,88,USA,1973
2020-04-19,88,Wave 3,419
2020-04-19,88,Western Europe,2811
2020-04-20,89,China,0
2020-04-20,89,India,38
2020-04-20,89,Other,862
2020-04-20,89,USA,1938
2020-04-20,89,Wave 3,256
2020-04-20,89,Western Europe,2106
2020-04-21,90,China,0
2020-04-21,90,India,33
2020-04-21,90,Other,889
2020-04-21,90,USA,2196
2020-04-21,90,Wave 3,256
2020-04-21,90,Western Europe,2464
2020-04-22,91,China,0
2020-04-22,91,India,53
2020-04-22,91,Other,1080
2020-04-22,91,USA,2538
2020-04-22,91,Wave 3,404
2020-04-22,91,Western Europe,3222
2020-04-23,92,China,0
2020-04-23,92,India,36
2020-04-23,92,Other,1050
2020-04-23,92,USA,2428
2020-04-23,92,Wave 3,396
2020-04-23,92,Western Europe,2922
2020-04-24,93,China,0
2020-04-24,93,India,40
2020-04-24,93,Other,958
2020-04-24,93,USA,2456
2020-04-24,93,Wave 3,622
2020-04-24,93,Western Europe,2752
2020-04-25,94,China,0
2020-04-25,94,India,59
2020-04-25,94,Other,1185
2020-04-25,94,USA,2160
2020-04-25,94,Wave 3,657
2020-04-25,94,Western Europe,2681
2020-04-26,95,China,0
2020-04-26,95,India,45
2020-04-26,95,Other,832
2020-04-26,95,USA,1706
2020-04-26,95,Wave 3,587
2020-04-26,95,Western Europe,2453
2020-04-27,96,China,1
2020-04-27,96,India,56
2020-04-27,96,Other,649
2020-04-27,96,USA,1350
2020-04-27,96,Wave 3,377
2020-04-27,96,Western Europe,1497
2020-04-28,97,China,0
2020-04-28,97,India,58
2020-04-28,97,Other,937
2020-04-28,97,USA,1464
2020-04-28,97,Wave 3,513
2020-04-28,97,Western Europe,1730
2020-04-29,98,China,0
2020-04-29,98,India,69
2020-04-29,98,Other,1133
2020-04-29,98,USA,2224
2020-04-29,98,Wave 3,771
2020-04-29,98,Western Europe,2381
2020-04-30,99,China,0
2020-04-30,99,India,71
2020-04-30,99,Other,995
2020-04-30,99,USA,2519
2020-04-30,99,Wave 3,800
2020-04-30,99,Western Europe,2441
2020-05-01,100,China,0
2020-05-01,100,India,75
2020-05-01,100,Other,921
2020-05-01,100,USA,2403
2020-05-01,100,Wave 3,839
2020-05-01,100,Western Europe,1811
2020-05-02,101,China,0
2020-05-02,101,India,69
2020-05-02,101,Other,970
2020-05-02,101,USA,1888
2020-05-02,101,Wave 3,697
2020-05-02,101,Western Europe,1506
2020-05-03,102,China,0
2020-05-03,102,India,100
2020-05-03,102,Other,1040
2020-05-03,102,USA,1705
2020-05-03,102,Wave 3,579
2020-05-03,102,Western Europe,2045
2020-05-04,103,China,0
2020-05-04,103,India,68
2020-05-04,103,Other,788
2020-05-04,103,USA,1118
2020-05-04,103,Wave 3,537
2020-05-04,103,Western Europe,928
2020-05-05,104,China,0
2020-05-05,104,India,175
2020-05-05,104,Other,908
2020-05-05,104,USA,1324
2020-05-05,104,Wave 3,579
2020-05-05,104,Western Europe,1171
2020-05-06,105,China,0
2020-05-06,105,India,127
2020-05-06,105,Other,784
2020-05-06,105,USA,2287
2020-05-06,105,Wave 3,1012
2020-05-06,105,Western Europe,1658
2020-05-07,106,China,0
2020-05-07,106,India,92
2020-05-07,106,Other,889
2020-05-07,106,USA,2349
2020-05-07,106,Wave 3,1034
2020-05-07,106,Western Europe,2176
2020-05-08,107,China,0
2020-05-08,107,India,104
2020-05-08,107,Other,811
2020-05-08,107,USA,1919
2020-05-08,107,Wave 3,1064
2020-05-08,107,Western Europe,1402
2020-05-09,108,China,0
2020-05-09,108,India,96
2020-05-09,108,Other,876
2020-05-09,108,USA,1749
2020-05-09,108,Wave 3,1228
2020-05-09,108,Western Europe,1589
2020-05-10,109,China,0
2020-05-10,109,India,116
2020-05-10,109,Other,696
2020-05-10,109,USA,1532
2020-05-10,109,Wave 3,1054
2020-05-10,109,Western Europe,891
2020-05-11,110,China,0
2020-05-11,110,India,111
2020-05-11,110,Other,999
2020-05-11,110,USA,911
2020-05-11,110,Wave 3,763
2020-05-11,110,Western Europe,708
2020-05-12,111,China,0
2020-05-12,111,India,82
2020-05-12,111,Other,626
2020-05-12,111,USA,1000
2020-05-12,111,Wave 3,824
2020-05-12,111,Western Europe,912
2020-05-13,112,China,0
2020-05-13,112,India,121
2020-05-13,112,Other,885
2020-05-13,112,USA,1618
2020-05-13,112,Wave 3,1384
2020-05-13,112,Western Europe,1496
2020-05-14,113,China,0
2020-05-14,113,India,136
2020-05-14,113,Other,791
2020-05-14,113,USA,1742
2020-05-14,113,Wave 3,1309
2020-05-14,113,Western Europe,1169
2020-05-15,114,China,0
2020-05-15,114,India,98
2020-05-15,114,Other,750
2020-05-15,114,USA,1781
2020-05-15,114,Wave 3,1231
2020-05-15,114,Western Europe,1294
2020-05-16,115,China,0
2020-05-16,115,India,104
2020-05-16,115,Other,979
2020-05-16,115,USA,1670
2020-05-16,115,Wave 3,1515
2020-05-16,115,Western Europe,955
2020-05-17,116,China,1
2020-05-17,116,India,118
2020-05-17,116,Other,725
2020-05-17,116,USA,1272
2020-05-17,116,Wave 3,1254
2020-05-17,116,Western Europe,880
2020-05-18,117,China,0
2020-05-18,117,India,154
2020-05-18,117,Other,605
2020-05-18,117,USA,763
2020-05-18,117,Wave 3,831
2020-05-18,117,Western Europe,776
2020-05-19,118,China,0
2020-05-19,118,India,131
2020-05-19,118,Other,651
2020-05-19,118,USA,1176
2020-05-19,118,Wave 3,1151
2020-05-19,118,Western Europe,603
2020-05-20,119,China,0
2020-05-20,119,India,146
2020-05-20,119,Other,669
2020-05-20,119,USA,1501
2020-05-20,119,Wave 3,1734
2020-05-20,119,Western Europe,642
2020-05-21,120,China,0
2020-05-21,120,India,132
2020-05-21,120,Other,726
2020-05-21,120,USA,1515
2020-05-21,120,Wave 3,1571
2020-05-21,120,Western Europe,849
2020-05-22,121,China,0
2020-05-22,121,India,150
2020-05-22,121,Other,746
2020-05-22,121,USA,1207
2020-05-22,121,Wave 3,1893
2020-05-22,121,Western Europe,685
2020-05-23,122,China,0
2020-05-23,122,India,142
2020-05-23,122,Other,801
2020-05-23,122,USA,1245
2020-05-23,122,Wave 3,1763
2020-05-23,122,Western Europe,1321
2020-05-24,123,China,0
2020-05-24,123,India,142
2020-05-24,123,Other,681
2020-05-24,123,USA,1147
2020-05-24,123,Wave 3,1458
2020-05-24,123,Western Europe,556
2020-05-25,124,China,0
2020-05-25,124,India,156
2020-05-25,124,Other,579
2020-05-25,124,USA,608
2020-05-25,124,Wave 3,1143
2020-05-25,124,Western Europe,499
2020-05-26,125,China,0
2020-05-26,125,India,148
2020-05-26,125,Other,698
2020-05-26,125,USA,559
2020-05-26,125,Wave 3,1341
2020-05-26,125,Western Europe,-1567
2020-05-27,126,China,0
2020-05-27,126,India,172
2020-05-27,126,Other,747
2020-05-27,126,USA,663
2020-05-27,126,Wave 3,1906
2020-05-27,126,Western Europe,740
2020-05-28,127,China,0
2020-05-28,127,India,190
2020-05-28,127,Other,821
2020-05-28,127,USA,1500
2020-05-28,127,Wave 3,1941
2020-05-28,127,Western Europe,641
2020-05-29,128,China,0
2020-05-29,128,India,177
2020-05-29,128,Other,770
2020-05-29,128,USA,1167
2020-05-29,128,Wave 3,1924
2020-05-29,128,Western Europe,580
2020-05-30,129,China,0
2020-05-30,129,India,269
2020-05-30,129,Other,790
2020-05-30,129,USA,1167
2020-05-30,129,Wave 3,1898
2020-05-30,129,Western Europe,518
2020-05-31,130,China,0
2020-05-31,130,India,205
2020-05-31,130,Other,778
2020-05-31,130,USA,950
2020-05-31,130,Wave 3,1692
2020-05-31,130,Western Europe,395
2020-06-01,131,China,0
2020-06-01,131,India,223
2020-06-01,131,Other,690
2020-06-01,131,USA,694
2020-06-01,131,Wave 3,967
2020-06-01,131,Western Europe,197
2020-06-02,132,China,0
2020-06-02,132,India,200
2020-06-02,132,Other,691
2020-06-02,132,USA,781
2020-06-02,132,Wave 3,1188
2020-06-02,132,Western Europe,218
2020-06-03,133,China,0
2020-06-03,133,India,221
2020-06-03,133,Other,924
2020-06-03,133,USA,1040
2020-06-03,133,Wave 3,2108
2020-06-03,133,Western Europe,443
2020-06-04,134,China,0
2020-06-04,134,India,259
2020-06-04,134,Other,878
2020-06-04,134,USA,994
2020-06-04,134,Wave 3,2812
2020-06-04,134,Western Europe,473
2020-06-05,135,China,0
2020-06-05,135,India,275
2020-06-05,135,Other,745
2020-06-05,135,USA,1018
2020-06-05,135,Wave 3,2661
2020-06-05,135,Western Europe,340
2020-06-06,136,China,0
2020-06-06,136,India,286
2020-06-06,136,Other,990
2020-06-06,136,USA,888
2020-06-06,136,Wave 3,1966
2020-06-06,136,Western Europe,445
2020-06-07,137,China,0
2020-06-07,137,India,297
2020-06-07,137,Other,898
2020-06-07,137,USA,703
2020-06-07,137,Wave 3,1650
2020-06-07,137,Western Europe,282
2020-06-08,138,China,0
2020-06-08,138,India,261
2020-06-08,138,Other,781
2020-06-08,138,USA,450
2020-06-08,138,Wave 3,1089
2020-06-08,138,Western Europe,150
2020-06-09,139,China,0
2020-06-09,139,India,266
2020-06-09,139,Other,1411
2020-06-09,139,USA,507
2020-06-09,139,Wave 3,1327
2020-06-09,139,Western Europe,191
2020-06-10,140,China,0
2020-06-10,140,India,277
2020-06-10,140,Other,863
2020-06-10,140,USA,921
2020-06-10,140,Wave 3,2288
2020-06-10,140,Western Europe,433
2020-06-11,141,China,0
2020-06-11,141,India,352
2020-06-11,141,Other,1086
2020-06-11,141,USA,893
2020-06-11,141,Wave 3,2436
2020-06-11,141,Western Europe,293
2020-06-12,142,China,0
2020-06-12,142,India,396
2020-06-12,142,Other,971
2020-06-12,142,USA,853
2020-06-12,142,Wave 3,2258
2020-06-12,142,Western Europe,185
2020-06-13,143,China,0
2020-06-13,143,India,386
2020-06-13,143,Other,1071
2020-06-13,143,USA,818
2020-06-13,143,Wave 3,1678
2020-06-13,143,Western Europe,245
2020-06-14,144,China,0
2020-06-14,144,India,311
2020-06-14,144,Other,1110
2020-06-14,144,USA,772
2020-06-14,144,Wave 3,1733
2020-06-14,144,Western Europe,227
2020-06-15,145,China,0
2020-06-15,145,India,325
2020-06-15,145,Other,1182
2020-06-15,145,USA,315
2020-06-15,145,Wave 3,1452
2020-06-15,145,Western Europe,96
2020-06-16,146,China,0
2020-06-16,146,India,380
2020-06-16,146,Other,1081
2020-06-16,146,USA,387
2020-06-16,146,Wave 3,1458
2020-06-16,146,Western Europe,101
2020-06-17,147,China,0
2020-06-17,147,India,2003
2020-06-17,147,Other,1110
2020-06-17,147,USA,821
2020-06-17,147,Wave 3,2495
2020-06-17,147,Western Europe,288
2020-06-18,148,China,0
2020-06-18,148,India,334
2020-06-18,148,Other,1333
2020-06-18,148,USA,741
2020-06-18,148,Wave 3,2516
2020-06-18,148,Western Europe,225
2020-06-19,149,China,0
2020-06-19,149,India,336
2020-06-19,149,Other,1311
2020-06-19,149,USA,689
2020-06-19,149,Wave 3,2377
2020-06-19,149,Western Europe,197
2020-06-20,150,China,0
2020-06-20,150,India,375
2020-06-20,150,Other,1388
2020-06-20,150,USA,662
2020-06-20,150,Wave 3,2323
2020-06-20,150,Western Europe,1351
2020-06-21,151,China,1
2020-06-21,151,India,306
2020-06-21,151,Other,1227
2020-06-21,151,USA,605
2020-06-21,151,Wave 3,1854
2020-06-21,151,Western Europe,162
2020-06-22,152,China,0
2020-06-22,152,India,445
2020-06-22,152,Other,1161
2020-06-22,152,USA,299
2020-06-22,152,Wave 3,2028
2020-06-22,152,Western Europe,63
2020-06-23,153,China,0
2020-06-23,153,India,312
2020-06-23,153,Other,988
2020-06-23,153,USA,389
2020-06-23,153,Wave 3,1790
2020-06-23,153,Western Europe,65
2020-06-24,154,China,1
2020-06-24,154,India,465
2020-06-24,154,Other,1216
2020-06-24,154,USA,841
2020-06-24,154,Wave 3,2583
2020-06-24,154,Western Europe,204
2020-06-25,155,China,0
2020-06-25,155,India,418
2020-06-25,155,Other,1378
2020-06-25,155,USA,757
2020-06-25,155,Wave 3,2546
2020-06-25,155,Western Europe,96
2020-06-26,156,China,1
2020-06-26,156,India,407
2020-06-26,156,Other,1350
2020-06-26,156,USA,542
2020-06-26,156,Wave 3,2223
2020-06-26,156,Western Europe,174
2020-06-27,157,China,0
2020-06-27,157,India,384
2020-06-27,157,Other,1412
2020-06-27,157,USA,629
2020-06-27,157,Wave 3,2149
2020-06-27,157,Western Europe,174
2020-06-28,158,China,0
2020-06-28,158,India,410
